dataset,method,time,model_string,random_seed,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score
ring,DecisionTree,0.0428907871246337,,66580,0.5243266846478758,0.757060017586577,0.7478764478764479,0.5497625919307007,0.7401126252078851,0.727027027027027
coil2000,DecisionTree,0.1458282470703125,,92067,0.1381990929052472,0.9238743327108444,0.9410909090909092,1.051141940558258,0.6424299153571077,0.9379029521547336
kr_vs_kp,DecisionTree,0.0041654109954833,,57302,0.0411845631305377,0.9988283721339966,0.9798837729101476,0.0502437632548008,0.998060275310138,0.9749739311783108
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,DecisionTree,0.0031032562255859,,66580,0.6310022017553655,0.6956433698671198,0.6428571428571429,0.7333199617332177,0.5404837561424528,0.5083333333333333
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,DecisionTree,0.0060939788818359,,57302,0.5121818119500109,0.8008795091586306,0.7098214285714286,1.5018019702823968,0.6734596415671019,0.6104166666666667
german,DecisionTree,0.0015804767608642,,41729,0.4916878567840211,0.7700862281350087,0.74,0.7948510353560291,0.6913222079589219,0.6966666666666667
dis,DecisionTree,0.0095839500427246,,33585,0.0207237173572882,0.9944748412748162,0.9916666666666668,0.1430702692127372,0.8548791405550582,0.9920494699646644
clean2,DecisionTree,0.0415575504302978,,57302,2.2204460492503136e-16,1.0,1.0,2.2204460492503136e-16,1.0,1.0
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,DecisionTree,0.0030586719512939,,33585,0.6261604999980724,0.7047154673837801,0.6508928571428572,0.7418991947500164,0.5321247760051496,0.5166666666666667
twonorm,DecisionTree,0.2333908081054687,,92067,0.1887280047376225,0.9759518307645728,0.9027027027027028,1.618501974309525,0.8998879134864181,0.8193693693693693
mofn_3_7_10,DecisionTree,0.0016865730285644,,33585,0.1426365609287181,0.972358895179276,0.9049676025917928,0.2122027982473757,0.930396964598919,0.8291457286432161
hypothyroid,DecisionTree,0.003990888595581,,33585,0.0743525340598333,0.977362045542761,0.959349593495935,0.2150497487446444,0.9077510917030568,0.952581664910432
mofn_3_7_10,DecisionTree,0.0017402172088623,,66580,0.1548929136259252,0.9712841507794252,0.9049676025917928,0.2217305079377549,0.93399926686217,0.8417085427135679
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,DecisionTree,0.0030934810638427,,66580,0.6136204471884373,0.7166500314103401,0.6544642857142857,0.751968575492236,0.5409004879234602,0.5125
Hill_Valley_with_noise,DecisionTree,0.1712002754211425,,66580,0.4582695705863663,0.8585527231817144,0.7794811320754716,1.8338799356795676,0.5650323718046142,0.5357142857142857
kr_vs_kp,DecisionTree,0.0037841796875,,92067,0.0611425245920372,0.997377476871859,0.9704962002682164,0.0604715696247007,0.997299706375839,0.9770594369134517
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,DecisionTree,0.0019910335540771,,41729,0.6731195423470195,0.5949748567344385,0.5758928571428571,0.7090501741480087,0.5156086683854784,0.4979166666666667
clean2,DecisionTree,0.0389890670776367,,92067,2.2204460492503136e-16,1.0,1.0,2.2204460492503136e-16,1.0,1.0
spambase,DecisionTree,0.0312020778656005,,92067,0.1911078787515296,0.9710694039520572,0.9214285714285714,0.5317950441495723,0.9490296669025342,0.9152787834902244
churn,DecisionTree,0.1017742156982421,,92067,0.120312466110029,0.9776937353363448,0.9474285714285714,0.8386655460940451,0.90408235478658,0.9426666666666668
credit_g,DecisionTree,0.0027227401733398,,57302,0.501912306977295,0.7563940225796475,0.7071428571428572,0.9000278299161765,0.6749571183533448,0.7
churn,DecisionTree,0.0163121223449707,,57302,0.2643103998515875,0.8282427556781433,0.908,0.265415968678145,0.8222036885741952,0.9106666666666666
phoneme,DecisionTree,0.0180332660675048,,92067,0.4209625759996659,0.8442843478026567,0.790058170280275,0.4427443795769321,0.8261441656007881,0.7712700369913686
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,DecisionTree,0.0054922103881835,,57302,0.6080886025633294,0.7308312924128783,0.6767857142857143,0.7146692002427534,0.596641428174493,0.5666666666666667
twonorm,DecisionTree,0.1675424575805664,,33585,0.1648895331695827,0.9820646757825456,0.9206563706563706,1.9381075899450373,0.8945926291457809,0.8207207207207208
churn,DecisionTree,0.0559339523315429,,41729,0.134858541427399,0.9694861693751544,0.9454285714285714,0.6824721440200663,0.8777816959529419,0.9426666666666668
Hill_Valley_without_noise,DecisionTree,0.0367991924285888,,66580,0.6804441510985555,0.5486021205357143,0.5577830188679245,0.7127197328287813,0.4977134146341463,0.456043956043956
